"","Id","Prix","Poids","Couleur","Intensité","Régularité"
"65",65,47.29,0.71,"Jaune",4,1
"238",238,30.8,0.4,"Jaune",5,2
"1177",1177,39.52,0.51,"Bleu",5,1
"1508",1508,25.68,0.32,"Bleu",3,1
"1606",1606,35.76,0.41,"Bleu",5,2
"1939",1939,37.4,0.7,"Jaune",1,1
"2137",2137,34.76,0.3,"Jaune",3,3
"2210",2210,56.16,0.73,"Bleu",5,3
"2231",2231,18.07,0.33,"Rouge",3,2
"2237",2237,30.17,0.33,"Jaune",3,1
"3391",3391,36.55,0.61,"Bleu",3,1
"3495",3495,59.06,1.08,"Bleu",4,3
"3583",3583,73.48,1.76,"Jaune",4,1
"3639",3639,41.86,0.4,"Rouge",5,1
"4569",4569,66.03,1.81,"Bleu",2,1
"4806",4806,31.08,0.32,"Bleu",5,1
"4854",4854,38.75,0.7,"Bleu",4,1
"5273",5273,30.29,0.44,"Bleu",5,1
"5365",5365,45.98,1.01,"Rouge",4,2
"5414",5414,58.34,1.35,"Jaune",1,3
"5541",5541,41.35,0.47,"Bleu",3,2
"5786",5786,83.38,1.57,"Bleu",5,1
"6271",6271,61.42,0.71,"Rouge",5,2
"6625",6625,47.78,0.4,"Jaune",3,1
"7127",7127,32.58,0.4,"Jaune",4,1
"7956",7956,55.29,1.11,"Rouge",3,3
"8104",8104,43.18,0.4,"Rouge",5,1
"8514",8514,109.75,2.5,"Bleu",4,3
"9104",9104,62.76,1.02,"Jaune",5,1
"9414",9414,42.15,0.32,"Rouge",5,1
"9467",9467,74.72,1.7,"Rouge",4,3
"9644",9644,56.62,1.02,"Bleu",3,3
"9906",9906,61.25,1.26,"Rouge",5,2
"9988",9988,35.49,1.02,"Rouge",2,2
"10542",10542,35.35,0.32,"Jaune",5,2
"11506",11506,48.2,1.07,"Bleu",4,1
"11681",11681,78.89,1.53,"Jaune",5,1
"11948",11948,45.21,0.92,"Bleu",3,1
"12584",12584,47.34,0.74,"Bleu",4,2
"13174",13174,86.91,2.18,"Rouge",2,2
"13252",13252,63.29,1.04,"Rouge",5,1
"13331",13331,90.64,1.59,"Rouge",5,1
"13767",13767,23.65,0.3,"Jaune",3,1
"14536",14536,58.39,1.56,"Rouge",3,2
"14560",14560,33.72,0.41,"Rouge",5,1
"14883",14883,26.31,0.45,"Rouge",4,1
"15050",15050,28.81,0.4,"Bleu",5,1
"15281",15281,55.21,1.03,"Rouge",4,1
"15963",15963,36.21,0.58,"Jaune",3,2
"16024",16024,19.11,0.3,"Jaune",5,2
"16268",16268,65.23,1.5,"Rouge",3,2
"16281",16281,30.53,0.87,"Rouge",3,1
"16452",16452,29.53,0.3,"Jaune",4,2
"17852",17852,24.08,0.38,"Jaune",4,1
"18008",18008,38.98,0.32,"Jaune",3,1
"19512",19512,55.25,0.72,"Rouge",5,2
"19601",19601,54.56,1.04,"Jaune",2,3
"19689",19689,27.79,0.3,"Jaune",2,3
"19694",19694,27.8,0.43,"Rouge",4,2
"20535",20535,53,0.9,"Jaune",4,1
"20542",20542,41.34,0.56,"Bleu",5,2
"20722",20722,85.29,1.13,"Jaune",5,1
"20830",20830,40.68,1.01,"Rouge",4,1
"20903",20903,19.05,0.3,"Bleu",3,2
"21185",21185,60.52,1.01,"Jaune",3,3
"21561",21561,72.56,1.1,"Jaune",5,2
"21563",21563,26.21,0.31,"Rouge",4,1
"21987",21987,20.95,0.25,"Jaune",5,1
"22214",22214,24.61,0.3,"Rouge",4,3
"23109",23109,54.16,0.74,"Jaune",5,1
"23403",23403,46.59,0.72,"Jaune",5,2
"23481",23481,70.58,1.02,"Rouge",5,1
"23661",23661,17.43,0.31,"Rouge",2,1
"23846",23846,49.47,1,"Rouge",4,1
"23961",23961,30.45,0.32,"Rouge",5,3
"24057",24057,28.65,0.3,"Bleu",3,3
"24153",24153,28.4,0.52,"Rouge",2,2
"24872",24872,37.46,0.58,"Bleu",3,1
"24966",24966,30.92,0.45,"Bleu",5,2
"25206",25206,40.2,0.54,"Bleu",5,3
"25264",25264,43.63,1,"Jaune",4,1
"25284",25284,57.35,1.21,"Bleu",4,3
"25410",25410,41.88,0.4,"Bleu",5,1
"26148",26148,53.49,0.58,"Rouge",5,2
"26266",26266,55.68,1.21,"Rouge",4,1
"26442",26442,33.49,0.32,"Rouge",2,1
"26726",26726,57.94,1.07,"Rouge",3,2
"26817",26817,28.27,0.33,"Bleu",3,3
"26936",26936,38.04,1.02,"Rouge",2,1
"27506",27506,35.84,0.37,"Bleu",4,2
"27593",27593,51.58,1.02,"Rouge",3,2
"27797",27797,45.66,1,"Jaune",1,3
"28102",28102,48.85,1.02,"Bleu",4,1
"28375",28375,83.81,1.55,"Rouge",5,1
"29176",29176,54.14,0.67,"Jaune",5,1
"29374",29374,59.93,1.38,"Jaune",3,1
"30441",30441,55.48,1.01,"Rouge",4,2
"30783",30783,44.86,0.7,"Jaune",5,2
"31321",31321,35.24,0.42,"Rouge",5,1
"31345",31345,48.47,0.9,"Jaune",4,3
"31402",31402,41.26,0.7,"Bleu",5,1
"31492",31492,61.39,0.71,"Rouge",5,3
"31539",31539,64.78,1.1,"Bleu",5,2
"31642",31642,54.11,0.73,"Rouge",5,1
"31749",31749,46.11,1.23,"Jaune",4,2
"32149",32149,31.74,0.34,"Jaune",5,2
"32200",32200,65.81,1.51,"Rouge",3,2
"32230",32230,46.31,0.51,"Rouge",5,1
"33021",33021,105.46,1.57,"Rouge",5,3
"33299",33299,33.66,0.41,"Jaune",5,3
"33700",33700,22.47,0.3,"Bleu",4,2
"34104",34104,27.65,0.3,"Jaune",5,1
"34351",34351,38.16,0.56,"Rouge",5,3
"34591",34591,43.58,0.4,"Jaune",5,2
"35123",35123,56.04,1.06,"Jaune",3,1
"35145",35145,57.88,0.9,"Bleu",5,3
"35199",35199,33.46,0.32,"Rouge",5,1
"35312",35312,98.11,1.72,"Jaune",5,2
"35676",35676,36.16,0.53,"Rouge",4,2
"36983",36983,62.13,1.02,"Rouge",5,2
"36991",36991,72.74,1.55,"Rouge",3,1
"37082",37082,65.41,1.2,"Jaune",3,1
"37850",37850,37.44,0.31,"Bleu",5,1
"37948",37948,23.08,0.72,"Bleu",2,2
"38125",38125,60.48,0.54,"Jaune",5,1
"38614",38614,65.88,1.68,"Rouge",3,2
"39761",39761,40.05,0.61,"Jaune",5,1
"39820",39820,32.22,0.42,"Rouge",3,3
"40251",40251,38.2,0.41,"Jaune",5,1
"40557",40557,28.56,0.3,"Jaune",4,3
"40624",40624,57.03,0.91,"Rouge",2,1
"40807",40807,39.35,0.56,"Jaune",5,2
"40940",40940,34.43,0.57,"Bleu",4,2
"42050",42050,35.36,0.71,"Rouge",4,3
"42410",42410,40.72,0.55,"Rouge",4,3
"42468",42468,44.75,0.56,"Jaune",4,2
"42790",42790,54.22,0.55,"Jaune",5,1
"43351",43351,40.77,0.71,"Bleu",3,2
"43459",43459,51.8,0.7,"Bleu",5,3
"43684",43684,108.62,2.01,"Jaune",5,1
"44283",44283,57.09,1.21,"Bleu",4,1
"44362",44362,48.44,1.07,"Rouge",3,1
"44596",44596,36.91,0.51,"Rouge",4,1
"44837",44837,64.92,1.42,"Bleu",4,1
"44985",44985,30.35,0.39,"Rouge",2,3
"45089",45089,39.06,0.7,"Jaune",4,2
"45185",45185,80.27,1.52,"Bleu",5,2
"45265",45265,27.67,0.3,"Rouge",5,1
"45446",45446,42.47,0.54,"Rouge",5,1
"45678",45678,37.91,0.72,"Jaune",2,1
"46474",46474,54.11,0.41,"Jaune",2,1
"46718",46718,27.92,0.33,"Bleu",5,2
"46931",46931,39.47,0.3,"Jaune",4,1
"47012",47012,30.69,0.32,"Jaune",3,2
"47212",47212,35.69,0.25,"Bleu",5,1
"47434",47434,55.18,0.9,"Jaune",4,1
"47583",47583,87.09,1.53,"Jaune",5,2
"47684",47684,29.47,0.5,"Bleu",2,2
"48020",48020,39.56,0.9,"Rouge",2,2
"48075",48075,64.61,1.5,"Rouge",4,1
"48509",48509,36.17,0.51,"Rouge",5,2
"48753",48753,44.59,0.53,"Jaune",5,3
"48934",48934,41.11,0.51,"Jaune",2,1
"50238",50238,37.16,0.7,"Jaune",2,2
"51329",51329,79.63,1.73,"Jaune",3,1
"52737",52737,18.98,0.26,"Bleu",3,2
"53359",53359,61.29,1.03,"Bleu",3,2
"53945",53945,29.93,0.32,"Rouge",4,3
"54016",54016,93.11,1.53,"Jaune",5,1
"54726",54726,30.71,0.72,"Rouge",3,1
"54855",54855,42.58,0.58,"Bleu",5,2
"55309",55309,54.86,0.71,"Jaune",3,2
"55320",55320,72.77,1.08,"Jaune",5,2
"55433",55433,27.87,0.45,"Bleu",4,1
"55509",55509,71.11,1.57,"Jaune",3,2
"55907",55907,33.2,0.33,"Rouge",5,2
"55928",55928,24.51,0.33,"Bleu",5,1
"56098",56098,50.09,1.01,"Rouge",4,2
"56651",56651,38.15,1.01,"Bleu",3,1
"56835",56835,34.37,0.35,"Jaune",5,1
"56897",56897,24.31,0.28,"Rouge",3,1
"57023",57023,70,1.2,"Jaune",5,1
"57026",57026,78.53,1.24,"Jaune",5,1
"57363",57363,62.76,1.5,"Bleu",4,2
"57516",57516,67.88,1.22,"Rouge",4,1
"57659",57659,56.36,0.72,"Bleu",5,1
"58309",58309,34.38,0.41,"Jaune",3,1
"58997",58997,35.03,0.35,"Jaune",3,1
"59333",59333,15.56,0.4,"Bleu",3,2
"60078",60078,52.78,1.01,"Bleu",3,2
"60579",60579,41.65,0.41,"Rouge",5,1
"60748",60748,37.48,0.61,"Jaune",3,3
"61215",61215,66.74,1.13,"Jaune",3,1
"61216",61216,56.03,0.51,"Jaune",5,2
"61361",61361,32.87,0.5,"Bleu",3,2
"61698",61698,37.92,0.38,"Jaune",5,3
"61790",61790,41.79,0.7,"Rouge",3,2
"62173",62173,39.18,1.01,"Bleu",4,3
"62364",62364,61.84,1.24,"Bleu",4,2
"62564",62564,17.74,0.33,"Bleu",5,1
"62894",62894,25.41,0.81,"Rouge",2,1
"63402",63402,55.11,0.52,"Jaune",5,3
"63670",63670,36.67,0.31,"Rouge",5,3
"64056",64056,26.32,0.39,"Rouge",2,2
"64820",64820,54.88,1.07,"Rouge",5,1
"64882",64882,63.03,1.04,"Rouge",4,2
"65033",65033,31.93,0.3,"Jaune",5,1
"65145",65145,49.49,1.01,"Bleu",3,1
"65168",65168,54.09,0.7,"Bleu",5,1
"65539",65539,20.74,0.24,"Bleu",2,2
"65563",65563,98.9,1.52,"Rouge",5,2
"66604",66604,33.51,0.41,"Bleu",5,1
"66743",66743,33.11,0.29,"Rouge",3,1
"66985",66985,44.04,0.57,"Rouge",5,1
"67027",67027,93.51,2.21,"Rouge",4,2
"67333",67333,51.87,1.33,"Jaune",4,2
"68285",68285,87.85,1.74,"Jaune",4,2
"68335",68335,33.18,0.53,"Jaune",5,2
"68723",68723,39.67,0.51,"Rouge",3,3
"69018",69018,27.68,0.34,"Bleu",5,1
"69097",69097,57.34,1.06,"Rouge",4,3
"69768",69768,55.05,1.06,"Jaune",3,2
"70244",70244,30.02,0.32,"Jaune",5,1
"70259",70259,62.28,1.51,"Jaune",2,1
"70361",70361,41.89,0.4,"Jaune",4,1
"70520",70520,49.15,0.53,"Rouge",5,1
"70744",70744,32.8,0.51,"Jaune",4,1
"70934",70934,59.02,1.02,"Bleu",5,2
"71178",71178,42.7,0.42,"Jaune",5,2
"71211",71211,54.85,0.9,"Bleu",5,3
"71419",71419,43.18,0.56,"Jaune",5,1
"71510",71510,45.31,0.91,"Jaune",2,1
"71558",71558,43.09,1.14,"Rouge",3,2
"71762",71762,42.32,0.51,"Jaune",5,2
"72500",72500,24.79,0.3,"Rouge",4,1
"72524",72524,21.26,0.4,"Rouge",2,2
"73043",73043,75.8,1.17,"Bleu",5,2
"73086",73086,49.99,0.91,"Jaune",4,3
"73179",73179,35.73,0.39,"Bleu",5,3
"73458",73458,27.67,0.24,"Rouge",2,2
"73544",73544,28.07,0.5,"Jaune",4,1
"74369",74369,28.29,0.36,"Rouge",5,2
"74412",74412,61.14,1,"Jaune",4,1
"74513",74513,25.45,0.52,"Rouge",2,3
"74572",74572,51.93,0.92,"Bleu",3,1
"74648",74648,34.69,0.62,"Bleu",4,1
"74819",74819,66.62,1,"Bleu",5,3
"74845",74845,50.88,0.56,"Rouge",5,1
"74887",74887,32,0.38,"Bleu",4,1
"75095",75095,32.88,0.58,"Rouge",4,2
"75104",75104,63.75,1.02,"Rouge",3,1
"75642",75642,50.16,0.6,"Rouge",5,1
"76385",76385,31.59,0.7,"Rouge",2,3
"76888",76888,36.37,0.4,"Bleu",4,1
"77047",77047,61.64,1.2,"Jaune",4,3
"77060",77060,33.28,0.37,"Bleu",3,3
"78002",78002,47.05,0.56,"Jaune",5,2
"78096",78096,112.75,2.1,"Rouge",5,2
"78135",78135,57.01,0.71,"Jaune",5,1
"78239",78239,46.9,0.71,"Rouge",3,1
"78268",78268,60.43,0.71,"Rouge",5,1
"78477",78477,29.87,0.3,"Bleu",4,3
"78532",78532,59.23,1.01,"Jaune",4,1
"78974",78974,34.37,0.3,"Bleu",5,1
"79326",79326,53.93,0.71,"Rouge",5,1
"79450",79450,37.12,0.55,"Jaune",3,2
"79514",79514,62.87,1.51,"Rouge",4,3
"79923",79923,53.05,1,"Rouge",3,1
"81073",81073,51.14,0.58,"Rouge",5,2
"81237",81237,39.65,0.5,"Bleu",4,3
"82982",82982,64.96,1.23,"Jaune",3,1
"83061",83061,44.69,0.82,"Rouge",1,1
"83115",83115,29.29,0.38,"Rouge",5,2
"83212",83212,53.84,1,"Jaune",2,1
"83359",83359,37.59,0.9,"Jaune",4,3
"83378",83378,38.09,0.52,"Rouge",5,3
"83408",83408,50.44,0.97,"Bleu",1,3
"83500",83500,41.23,0.65,"Rouge",5,2
"83517",83517,14.65,0.3,"Rouge",3,2
"84088",84088,49.31,1.01,"Rouge",2,2
"84154",84154,60.68,1.2,"Jaune",4,1
"84956",84956,25.81,0.7,"Rouge",3,1
"85109",85109,56.3,1.01,"Jaune",5,1
"85732",85732,44.35,1.07,"Bleu",3,1
"85835",85835,35.55,0.3,"Jaune",4,2
"86376",86376,40.95,0.5,"Rouge",5,1
"86578",86578,36.06,0.32,"Rouge",5,1
"86925",86925,23.11,0.3,"Bleu",5,1
"86978",86978,46.3,0.98,"Jaune",1,2
"87879",87879,49.21,0.62,"Jaune",5,1
"89209",89209,51.68,0.74,"Jaune",4,1
"89598",89598,31.95,0.28,"Jaune",3,2
"89825",89825,55.8,0.71,"Bleu",5,2
"89957",89957,22.25,0.48,"Rouge",4,3
"90230",90230,63.8,1.09,"Bleu",5,3
"90265",90265,48.42,0.52,"Rouge",5,3
"90411",90411,51.32,0.8,"Rouge",5,1
"90445",90445,27.48,0.54,"Jaune",3,2
"90448",90448,24.17,0.32,"Bleu",4,2
"90672",90672,26.28,0.32,"Rouge",5,1
"91416",91416,62.64,1.01,"Bleu",4,1
"92342",92342,47.01,0.62,"Rouge",5,1
"92459",92459,73.12,1.76,"Jaune",3,2
"92605",92605,27.26,0.38,"Bleu",2,1
"92741",92741,35.33,0.31,"Jaune",5,2
"92805",92805,79.18,1.27,"Bleu",5,2
"93926",93926,40.65,0.83,"Jaune",2,1
"94344",94344,76.37,2.01,"Rouge",3,3
"94687",94687,39.98,0.52,"Rouge",4,3
"94984",94984,62.52,1.02,"Bleu",5,3
"95025",95025,32.62,0.3,"Rouge",5,3
"95385",95385,60.13,1.12,"Bleu",4,2
"95937",95937,30.59,0.71,"Rouge",4,1
"96018",96018,25.78,0.33,"Jaune",5,1
"96388",96388,36.85,0.3,"Jaune",5,3
"96639",96639,50.35,0.6,"Rouge",5,3
"97385",97385,36.97,0.52,"Jaune",1,2
"98371",98371,47.34,1.01,"Rouge",2,3
"98567",98567,55.85,1.71,"Rouge",4,1
"99303",99303,39.09,0.31,"Jaune",5,1
"99426",99426,34,0.5,"Jaune",2,1
"99761",99761,29.17,0.55,"Rouge",4,3
"100618",100618,36.11,0.51,"Rouge",3,1
"100663",100663,70.34,1.21,"Jaune",4,1
"100843",100843,49.5,1,"Rouge",3,3
"101010",101010,68.39,1.56,"Jaune",4,3
"101400",101400,43.37,0.52,"Bleu",5,1
"101810",101810,66.93,0.73,"Rouge",5,1
"102087",102087,35.6,0.46,"Jaune",3,1
"102866",102866,41.32,0.59,"Rouge",2,2
"103385",103385,50.64,0.72,"Rouge",4,2
"103558",103558,43.58,0.3,"Bleu",5,2
"103604",103604,32.1,0.58,"Bleu",4,3
"104187",104187,55.1,1.2,"Bleu",4,2
"104925",104925,48.28,0.72,"Rouge",3,2
"105048",105048,77.1,1.02,"Rouge",5,2
"105198",105198,83.33,1.51,"Bleu",4,1
"105216",105216,62.94,0.7,"Rouge",5,1
"105753",105753,74.88,1.03,"Rouge",5,3
"105761",105761,61.21,1.5,"Rouge",4,3
"105829",105829,62.79,1.54,"Bleu",3,2
"106069",106069,27.63,0.34,"Rouge",5,2
"106238",106238,41.34,0.32,"Jaune",3,2
"106524",106524,70.74,1.5,"Bleu",2,2
"106535",106535,43.22,0.7,"Rouge",4,1
"106895",106895,36.5,1.02,"Bleu",3,3
"107034",107034,12.69,0.34,"Rouge",4,1
"107040",107040,69.89,0.81,"Bleu",5,2
"107225",107225,49.34,0.9,"Rouge",3,1
"107599",107599,38.34,0.35,"Rouge",5,1
"107652",107652,29.26,0.33,"Rouge",4,3
"107760",107760,60.18,1,"Rouge",5,1
"108283",108283,47.31,0.81,"Jaune",4,1
"108470",108470,44.35,0.32,"Rouge",4,3
"108827",108827,46.76,0.9,"Bleu",2,2
"109114",109114,29.77,0.44,"Bleu",5,1
"109368",109368,60.08,1.03,"Rouge",5,1
"110130",110130,46.42,0.9,"Rouge",4,2
"110683",110683,36.72,0.3,"Rouge",5,1
"110953",110953,36.91,0.71,"Rouge",3,3
"111555",111555,72.36,1.08,"Jaune",5,1
"111810",111810,65.6,1.11,"Rouge",5,3
"112804",112804,53.56,0.76,"Jaune",5,3
"112840",112840,62.01,1.13,"Bleu",5,1
"113104",113104,69.57,1.02,"Rouge",5,2
"113122",113122,49.79,0.83,"Rouge",4,3
"113935",113935,51.46,1.01,"Bleu",4,1
"114070",114070,35.57,0.43,"Rouge",3,1
"114143",114143,63.71,1.5,"Bleu",4,2
"114212",114212,57.92,0.72,"Jaune",5,2
"114421",114421,78.01,1.62,"Jaune",3,1
