"","Id","Prix","Poids","Couleur","Intensité","Régularité"
"31",31,58.73,1.5,"Jaune",1,2
"179",179,86.44,2.01,"Jaune",4,1
"287",287,33.62,0.52,"Bleu",5,3
"512",512,63.93,1.04,"Bleu",5,3
"571",571,101.78,2.29,"Rouge",4,1
"596",596,39.67,0.73,"Jaune",3,2
"598",598,43.03,1,"Bleu",3,2
"671",671,45.71,0.9,"Rouge",5,1
"712",712,75.4,1.65,"Rouge",4,3
"745",745,34.19,0.33,"Bleu",4,2
"768",768,117.63,2.14,"Bleu",5,2
"877",877,41.37,0.9,"Bleu",3,3
"908",908,51.2,1.21,"Rouge",3,3
"1167",1167,59.74,1,"Bleu",3,2
"1201",1201,38.12,0.3,"Rouge",3,1
"1202",1202,6.36,0.26,"Rouge",2,3
"1302",1302,24.46,0.31,"Bleu",3,2
"1333",1333,44.52,0.73,"Bleu",3,3
"1549",1549,29.93,0.4,"Jaune",5,1
"1577",1577,101.59,2.15,"Bleu",5,1
"1722",1722,41.56,0.35,"Rouge",5,1
"1736",1736,36.29,0.34,"Rouge",5,1
"1759",1759,68.35,1.11,"Jaune",5,2
"1764",1764,34.92,0.34,"Bleu",5,1
"1812",1812,38.37,0.5,"Rouge",3,1
"2049",2049,52.65,1.01,"Jaune",3,3
"2054",2054,39.04,0.7,"Bleu",3,3
"2092",2092,38.7,0.41,"Bleu",5,1
"2099",2099,31.39,0.39,"Bleu",5,2
"2172",2172,39.54,0.62,"Bleu",5,3
"2381",2381,42.21,0.73,"Rouge",4,3
"2428",2428,38.73,0.31,"Bleu",5,2
"2675",2675,35.62,0.76,"Bleu",3,1
"2746",2746,28.19,0.36,"Rouge",4,1
"2813",2813,86.32,2.1,"Jaune",3,2
"2843",2843,73.4,1.14,"Rouge",5,1
"2889",2889,18.77,0.32,"Rouge",4,3
"2930",2930,25.54,0.41,"Rouge",4,2
"2943",2943,47.37,0.73,"Jaune",4,1
"3011",3011,68.57,1.7,"Bleu",4,3
"3394",3394,37.14,0.31,"Jaune",5,2
"3406",3406,42.78,0.5,"Rouge",3,1
"3418",3418,29.57,0.9,"Bleu",1,3
"3422",3422,40.13,0.7,"Jaune",2,1
"3537",3537,49.67,0.71,"Jaune",4,1
"3552",3552,32.81,0.54,"Bleu",5,1
"3641",3641,24.63,0.3,"Rouge",5,2
"3663",3663,19.5,0.24,"Rouge",3,3
"3701",3701,31.82,0.35,"Bleu",5,1
"3799",3799,64.07,1.01,"Bleu",3,1
"3885",3885,45.31,0.71,"Rouge",4,1
"3933",3933,83.77,1.42,"Bleu",5,1
"3942",3942,41.91,0.59,"Bleu",5,1
"3993",3993,62.21,1.31,"Jaune",4,1
"4195",4195,33.48,0.32,"Bleu",4,2
"4286",4286,24.38,0.62,"Bleu",4,1
"4333",4333,69.44,1.51,"Bleu",4,2
"4393",4393,53.85,1.05,"Rouge",4,3
"4452",4452,49.87,0.8,"Bleu",3,2
"4476",4476,113.66,2.14,"Bleu",5,2
"4705",4705,35.9,0.33,"Rouge",5,2
"4748",4748,46.4,0.32,"Bleu",5,1
"4839",4839,40.48,1,"Jaune",3,2
"4931",4931,39.13,0.7,"Rouge",4,1
"5013",5013,33.28,0.7,"Rouge",4,1
"5024",5024,26.03,0.23,"Bleu",3,2
"5094",5094,32.74,0.32,"Rouge",4,1
"5116",5116,44.68,1,"Bleu",4,1
"5125",5125,37.71,0.59,"Rouge",2,2
"5188",5188,48.53,0.41,"Rouge",5,2
"5256",5256,28.58,0.33,"Rouge",5,1
"5434",5434,36.55,0.34,"Bleu",5,1
"5502",5502,27.26,0.3,"Jaune",5,1
