"";"Id";"Poids";"Couleur";"Régularité";"Intensité";"ID_unit";"Prob";"Stratum"
"4430";4430;0,78;"Jaune";"1";"1";123;0,00720022154527832;1
"8089";8089;0,77;"Bleu";"1";"1";228;0,00720022154527832;1
"15925";15925;0,71;"Jaune";"3";"1";476;0,00720022154527832;1
"17340";17340;1,6;"Jaune";"2";"1";513;0,00720022154527832;1
"24672";24672;3,65;"Jaune";"1";"1";708;0,00720022154527832;1
"27089";27089;1;"Bleu";"2";"1";774;0,00720022154527832;1
"27735";27735;0,9;"Bleu";"3";"1";800;0,00720022154527832;1
"28508";28508;1,76;"Rouge";"3";"1";828;0,00720022154527832;1
"32336";32336;1,21;"Rouge";"1";"1";951;0,00720022154527832;1
"42424";42424;0,91;"Jaune";"1";"1";1272;0,00720022154527832;1
"43579";43579;1;"Rouge";"1";"1";1294;0,00720022154527832;1
"48600";48600;0,51;"Bleu";"3";"1";1459;0,00720022154527832;1
"50803";50803;0,96;"Bleu";"3";"1";1522;0,00720022154527832;1
"51634";51634;1,01;"Bleu";"3";"1";1548;0,00720022154527832;1
"67088";67088;0,73;"Rouge";"1";"1";1989;0,00720022154527832;1
"67457";67457;1,09;"Bleu";"3";"1";1999;0,00720022154527832;1
"72630";72630;2,01;"Rouge";"1";"1";2160;0,00720022154527832;1
"76965";76965;1,09;"Rouge";"3";"1";2281;0,00720022154527832;1
"81858";81858;0,84;"Rouge";"1";"1";2426;0,00720022154527832;1
"84029";84029;0,5;"Bleu";"1";"1";2497;0,00720022154527832;1
"84746";84746;0,9;"Jaune";"1";"1";2518;0,00720022154527832;1
"92057";92057;1,5;"Bleu";"3";"1";2717;0,00720022154527832;1
"93600";93600;0,4;"Bleu";"2";"1";2751;0,00720022154527832;1
"97576";97576;1,07;"Bleu";"1";"1";2871;0,00720022154527832;1
"104715";104715;0,3;"Rouge";"1";"1";3079;0,00720022154527832;1
"114383";114383;0,63;"Bleu";"1";"1";3379;0,00720022154527832;1
"4499";4499;1,51;"Bleu";"1";"2";4039;0,0126108014255689;2
"4560";4560;2,01;"Bleu";"1";"2";4045;0,0126108014255689;2
"6090";6090;0,7;"Rouge";"1";"2";4195;0,0126108014255689;2
"6287";6287;1,01;"Jaune";"1";"2";4218;0,0126108014255689;2
"7699";7699;0,5;"Rouge";"1";"2";4347;0,0126108014255689;2
"8064";8064;1,52;"Rouge";"2";"2";4386;0,0126108014255689;2
"9621";9621;1,51;"Rouge";"1";"2";4511;0,0126108014255689;2
"9768";9768;0,7;"Bleu";"3";"2";4533;0,0126108014255689;2
"10584";10584;0,9;"Bleu";"2";"2";4599;0,0126108014255689;2
"13289";13289;0,66;"Rouge";"2";"2";4822;0,0126108014255689;2
"15416";15416;0,53;"Rouge";"1";"2";5006;0,0126108014255689;2
"15901";15901;0,9;"Jaune";"1";"2";5047;0,0126108014255689;2
"16385";16385;0,3;"Rouge";"2";"2";5094;0,0126108014255689;2
"17424";17424;0,3;"Rouge";"1";"2";5189;0,0126108014255689;2
"17784";17784;0,9;"Bleu";"3";"2";5219;0,0126108014255689;2
"19074";19074;0,32;"Rouge";"1";"2";5347;0,0126108014255689;2
"19661";19661;1,5;"Jaune";"3";"2";5406;0,0126108014255689;2
"20438";20438;1;"Bleu";"3";"2";5482;0,0126108014255689;2
"21608";21608;1,21;"Rouge";"1";"2";5585;0,0126108014255689;2
"21825";21825;0,4;"Bleu";"1";"2";5605;0,0126108014255689;2
"25378";25378;0,71;"Rouge";"3";"2";5915;0,0126108014255689;2
"26869";26869;1,01;"Jaune";"1";"2";6041;0,0126108014255689;2
"29227";29227;0,32;"Bleu";"1";"2";6258;0,0126108014255689;2
"33922";33922;1,01;"Bleu";"1";"2";6684;0,0126108014255689;2
