"","Id","Poids","Couleur","Intensité","Régularité"
"1",1,0.51,"Rouge","4","2"
"2",2,0.34,"Bleu","5","2"
"3",3,0.96,"Rouge","3","1"
"4",4,0.31,"Bleu","4","1"
"5",5,1.14,"Rouge","3","2"
"6",6,0.39,"Bleu","5","2"
"7",7,0.9,"Rouge","3","3"
"8",8,0.7,"Rouge","3","1"
"9",9,1.2,"Jaune","2","2"
"10",10,0.46,"Bleu","4","2"
"11",11,0.75,"Bleu","3","1"
"12",12,1,"Bleu","2","3"
"13",13,1.05,"Jaune","3","1"
"14",14,0.3,"Rouge","3","1"
"15",15,0.36,"Rouge","5","1"
"16",16,0.9,"Rouge","3","1"
"17",17,0.53,"Bleu","4","2"
"18",18,0.32,"Jaune","3","3"
"19",19,0.37,"Rouge","3","1"
"20",20,0.52,"Bleu","4","1"
"21",21,0.55,"Bleu","5","1"
"22",22,0.25,"Jaune","5","2"
"23",23,1.55,"Rouge","5","2"
"24",24,0.33,"Jaune","5","2"
"25",25,1.01,"Bleu","3","1"
"26",26,0.7,"Jaune","3","3"
"27",27,0.31,"Rouge","3","3"
"28",28,0.7,"Bleu","3","1"
"29",29,1.71,"Jaune","4","1"
"30",30,0.41,"Bleu","5","3"
"31",31,1.5,"Jaune","1","2"
"32",32,0.34,"Bleu","5","3"
"33",33,0.9,"Jaune","3","1"
"34",34,1.01,"Bleu","3","1"
"35",35,1.01,"Rouge","5","1"
"36",36,1.22,"Rouge","3","3"
"37",37,0.25,"Bleu","3","2"
"38",38,0.35,"Bleu","4","1"
"39",39,0.46,"Bleu","3","1"
"40",40,0.31,"Bleu","5","1"
"41",41,0.31,"Rouge","4","3"
"42",42,1.54,"Jaune","4","1"
"43",43,0.4,"Rouge","2","1"
"44",44,0.3,"Bleu","5","1"
"45",45,0.5,"Bleu","3","1"
"46",46,0.94,"Bleu","4","1"
"47",47,0.72,"Rouge","2","2"
"48",48,0.3,"Bleu","5","2"
"49",49,1.53,"Bleu","3","1"
"50",50,0.7,"Rouge","1","1"
"51",51,0.9,"Jaune","3","1"
"52",52,0.3,"Bleu","5","2"
"53",53,0.47,"Jaune","4","3"
"54",54,1.21,"Rouge","4","3"
"55",55,0.3,"Rouge","4","1"
"56",56,0.31,"Jaune","3","2"
"57",57,1.5,"Rouge","2","3"
"58",58,2,"Bleu","2","2"
"59",59,1.54,"Jaune","5","3"
"60",60,1,"Rouge","1","3"
"61",61,0.32,"Rouge","3","3"
"62",62,0.31,"Jaune","4","1"
"63",63,0.55,"Bleu","3","3"
"64",64,0.52,"Jaune","5","3"
"65",65,0.71,"Jaune","4","1"
"66",66,0.56,"Jaune","5","2"
"67",67,1.04,"Rouge","4","2"
"68",68,1.75,"Jaune","4","1"
"69",69,1.02,"Rouge","2","1"
"70",70,0.35,"Bleu","5","3"
"71",71,0.7,"Bleu","5","2"
"72",72,0.73,"Rouge","1","1"
"73",73,0.7,"Bleu","2","2"
"74",74,0.44,"Jaune","4","1"
"75",75,0.41,"Bleu","3","1"
"76",76,0.9,"Rouge","3","1"
"77",77,0.38,"Jaune","4","2"
"78",78,0.41,"Jaune","5","1"
"79",79,0.3,"Rouge","5","1"
"80",80,2,"Rouge","5","3"
"81",81,1.34,"Rouge","5","2"
"82",82,1.51,"Rouge","5","3"
"83",83,0.58,"Jaune","4","1"
"84",84,0.33,"Jaune","3","3"
"85",85,1.03,"Bleu","4","2"
"86",86,1.32,"Bleu","5","1"
"87",87,0.9,"Rouge","2","3"
"88",88,1,"Rouge","3","2"
"89",89,0.27,"Jaune","5","3"
"90",90,0.31,"Jaune","2","1"
"91",91,1.01,"Jaune","5","2"
"92",92,0.23,"Bleu","5","1"
"93",93,0.33,"Jaune","5","1"
"94",94,1.52,"Bleu","3","3"
"95",95,2,"Bleu","1","3"
"96",96,1,"Jaune","4","2"
"97",97,0.83,"Bleu","3","2"
"98",98,0.7,"Bleu","4","1"
"99",99,0.37,"Bleu","4","2"
"100",100,0.4,"Rouge","5","1"
"101",101,0.7,"Bleu","5","3"
"102",102,0.94,"Bleu","3","1"
"103",103,0.32,"Rouge","5","2"
"104",104,0.41,"Rouge","5","1"
"105",105,0.39,"Rouge","4","3"
"106",106,1.01,"Rouge","4","1"
"107",107,0.54,"Bleu","4","3"
"108",108,0.91,"Jaune","4","1"
"109",109,0.34,"Bleu","5","1"
"110",110,0.81,"Jaune","2","1"
"111",111,0.36,"Rouge","5","3"
"112",112,1.5,"Bleu","5","2"
"113",113,2.14,"Rouge","3","3"
"114",114,1.16,"Jaune","5","1"
"115",115,0.47,"Rouge","5","3"
"116",116,0.41,"Rouge","3","3"
"117",117,1.01,"Jaune","5","1"
"118",118,0.4,"Bleu","5","1"
"119",119,0.35,"Bleu","3","2"
"120",120,0.54,"Bleu","5","1"
"121",121,1.02,"Jaune","5","2"
"122",122,1.2,"Bleu","4","1"
"123",123,0.9,"Bleu","2","2"
"124",124,0.74,"Rouge","3","1"
"125",125,1.6,"Jaune","5","1"
"126",126,0.56,"Bleu","5","1"
"127",127,0.31,"Bleu","5","1"
"128",128,2.01,"Rouge","4","1"
"129",129,1.21,"Jaune","3","1"
"130",130,0.51,"Bleu","4","1"
"131",131,2,"Rouge","4","1"
"132",132,0.3,"Rouge","5","3"
"133",133,1.22,"Bleu","4","1"
"134",134,1.51,"Jaune","4","1"
"135",135,0.56,"Rouge","5","1"
"136",136,0.75,"Bleu","5","1"
"137",137,0.7,"Rouge","5","3"
"138",138,0.87,"Rouge","4","2"
"139",139,0.31,"Bleu","5","3"
"140",140,0.57,"Jaune","5","2"
"141",141,0.4,"Rouge","5","1"
"142",142,0.33,"Bleu","5","2"
"143",143,0.36,"Bleu","4","1"
"144",144,0.72,"Rouge","5","1"
"145",145,0.4,"Bleu","3","3"
"146",146,0.37,"Bleu","5","2"
"147",147,0.28,"Bleu","3","1"
"148",148,0.71,"Rouge","5","1"
"149",149,0.56,"Jaune","4","3"
"150",150,1.2,"Bleu","3","1"
"151",151,1.28,"Bleu","5","2"
"152",152,0.6,"Jaune","3","3"
"153",153,0.55,"Bleu","5","2"
"154",154,0.67,"Bleu","3","2"
"155",155,0.24,"Rouge","5","2"
"156",156,0.82,"Bleu","5","2"
"157",157,0.56,"Bleu","4","1"
"158",158,0.9,"Bleu","5","1"
"159",159,0.51,"Rouge","2","2"
"160",160,0.41,"Rouge","4","2"
"161",161,1.04,"Bleu","1","3"
"162",162,0.57,"Bleu","5","1"
"163",163,0.71,"Jaune","2","3"
"164",164,1,"Jaune","2","3"
"165",165,0.58,"Bleu","5","3"
"166",166,0.4,"Rouge","5","3"
"167",167,1.01,"Jaune","5","2"
"168",168,0.54,"Bleu","5","2"
"169",169,0.7,"Rouge","5","2"
"170",170,0.9,"Bleu","3","2"
"171",171,0.28,"Jaune","3","3"
"172",172,1.11,"Bleu","5","1"
"173",173,0.57,"Jaune","5","1"
"174",174,1.04,"Rouge","5","3"
"175",175,0.71,"Bleu","1","2"
"176",176,1,"Rouge","2","3"
"177",177,0.62,"Bleu","4","3"
"178",178,1.01,"Rouge","2","2"
"179",179,2.01,"Jaune","4","1"
"180",180,0.77,"Jaune","4","2"
"181",181,0.3,"Bleu","3","2"
"182",182,1.22,"Bleu","5","1"
"183",183,0.4,"Bleu","2","2"
"184",184,1.5,"Rouge","5","2"
"185",185,0.39,"Jaune","5","2"
"186",186,0.31,"Jaune","5","2"
"187",187,1.16,"Bleu","4","1"
"188",188,0.32,"Jaune","4","1"
"189",189,0.7,"Bleu","4","3"
"190",190,0.31,"Bleu","5","1"
"191",191,1.35,"Rouge","4","3"
"192",192,0.4,"Jaune","4","3"
"193",193,1.01,"Bleu","4","2"
"194",194,0.42,"Jaune","3","1"
"195",195,0.52,"Rouge","2","3"
"196",196,0.71,"Rouge","2","2"
"197",197,0.3,"Bleu","3","2"
"198",198,1.7,"Bleu","5","1"
"199",199,0.36,"Jaune","5","1"
"200",200,0.54,"Bleu","5","2"
"201",201,1.31,"Jaune","5","1"
"202",202,0.9,"Rouge","3","2"
"203",203,1,"Rouge","2","2"
"204",204,1.02,"Bleu","5","2"
"205",205,1.3,"Jaune","4","1"
"206",206,0.32,"Jaune","5","1"
"207",207,0.38,"Jaune","2","2"
"208",208,1.28,"Jaune","5","1"
"209",209,0.3,"Rouge","5","3"
"210",210,1.21,"Bleu","4","2"
"211",211,0.46,"Jaune","2","1"
"212",212,0.4,"Bleu","3","3"
"213",213,0.54,"Bleu","5","1"
"214",214,0.91,"Jaune","3","3"
"215",215,1.25,"Rouge","5","2"
"216",216,1.2,"Bleu","4","2"
"217",217,0.33,"Bleu","5","1"
"218",218,0.51,"Bleu","3","3"
"219",219,0.59,"Bleu","5","1"
"220",220,1.02,"Jaune","5","1"
"221",221,0.54,"Rouge","3","2"
"222",222,0.34,"Jaune","5","1"
"223",223,1.03,"Jaune","2","3"
"224",224,0.66,"Bleu","2","1"
"225",225,0.8,"Bleu","4","2"
"226",226,1.5,"Jaune","3","2"
"227",227,1.3,"Bleu","3","1"
"228",228,0.52,"Jaune","2","3"
"229",229,0.37,"Bleu","3","2"
"230",230,1.22,"Jaune","5","1"
"231",231,1.02,"Bleu","2","1"
"232",232,1.19,"Bleu","3","1"
"233",233,0.31,"Bleu","5","3"
"234",234,0.41,"Bleu","4","3"
"235",235,0.4,"Jaune","4","3"
"236",236,0.91,"Bleu","4","1"
"237",237,0.5,"Jaune","4","3"
"238",238,0.4,"Jaune","5","2"
"239",239,1,"Bleu","3","3"
"240",240,0.74,"Rouge","5","2"
"241",241,1.51,"Bleu","3","1"
"242",242,0.34,"Rouge","5","2"
"243",243,0.4,"Bleu","5","2"
"244",244,1.2,"Bleu","5","1"
"245",245,1.02,"Jaune","5","1"
"246",246,0.91,"Jaune","5","3"
"247",247,1.15,"Rouge","5","2"
"248",248,1.52,"Bleu","5","2"
"249",249,0.7,"Jaune","4","2"
"250",250,1.29,"Rouge","4","3"
"251",251,1.5,"Bleu","2","1"
"252",252,1.5,"Jaune","4","1"
"253",253,0.77,"Jaune","5","1"
"254",254,1.1,"Jaune","5","2"
"255",255,0.56,"Bleu","4","1"
"256",256,0.31,"Bleu","5","1"
"257",257,0.9,"Bleu","3","2"
"258",258,0.54,"Jaune","5","1"
"259",259,0.7,"Bleu","5","1"
"260",260,1,"Bleu","4","3"
"261",261,0.56,"Rouge","4","1"
"262",262,0.39,"Rouge","2","2"
"263",263,0.32,"Bleu","5","2"
"264",264,0.41,"Rouge","4","2"
"265",265,1.21,"Rouge","4","1"
"266",266,0.41,"Jaune","3","2"
"267",267,0.32,"Bleu","5","2"
"268",268,0.35,"Bleu","4","1"
"269",269,0.7,"Bleu","5","2"
"270",270,0.9,"Bleu","4","2"
"271",271,1.23,"Bleu","4","2"
"272",272,0.73,"Rouge","2","1"
"273",273,0.43,"Jaune","5","3"
"274",274,1.62,"Bleu","3","3"
"275",275,0.51,"Rouge","4","2"
"276",276,0.9,"Jaune","5","2"
"277",277,0.72,"Bleu","4","1"
"278",278,1.01,"Rouge","2","2"
"279",279,1.5,"Bleu","2","1"
"280",280,1.02,"Rouge","3","1"
"281",281,0.7,"Jaune","3","2"
"282",282,0.33,"Jaune","5","3"
"283",283,0.39,"Jaune","2","1"
"284",284,0.31,"Bleu","5","1"
"285",285,1.06,"Rouge","1","1"
"286",286,0.3,"Rouge","3","2"
"287",287,0.52,"Bleu","5","3"
"288",288,0.92,"Bleu","5","2"
"289",289,0.31,"Bleu","5","1"
"290",290,0.72,"Jaune","5","1"
"291",291,0.52,"Bleu","1","2"
"292",292,1.51,"Rouge","4","3"
"293",293,0.3,"Bleu","3","1"
"294",294,0.91,"Bleu","4","3"
"295",295,1,"Bleu","2","1"
"296",296,0.41,"Jaune","5","1"
"297",297,0.78,"Bleu","3","1"
"298",298,1.21,"Bleu","3","2"
"299",299,0.58,"Bleu","3","2"
"300",300,0.56,"Rouge","4","2"
"301",301,0.3,"Bleu","5","1"
"302",302,0.31,"Jaune","4","3"
"303",303,0.9,"Bleu","4","1"
